returns,train_step,method,seed,environment,source
1.0,4410000.0,Episodic,1,Sawyer Door,baseline
1.0,4420000.0,Episodic,1,Sawyer Door,baseline
1.0,4430000.0,Episodic,1,Sawyer Door,baseline
1.0,4440000.0,Episodic,1,Sawyer Door,baseline
1.0,4450000.0,Episodic,1,Sawyer Door,baseline
1.0,4460000.0,Episodic,1,Sawyer Door,baseline
1.0,4470000.0,Episodic,1,Sawyer Door,baseline
1.0,4480000.0,Episodic,1,Sawyer Door,baseline
1.0,4490000.0,Episodic,1,Sawyer Door,baseline
1.0,4500000.0,Episodic,1,Sawyer Door,baseline
1.0,4510000.0,Episodic,1,Sawyer Door,baseline
1.0,4520000.0,Episodic,1,Sawyer Door,baseline
1.0,4530000.0,Episodic,1,Sawyer Door,baseline
1.0,4540000.0,Episodic,1,Sawyer Door,baseline
1.0,4550000.0,Episodic,1,Sawyer Door,baseline
1.0,4560000.0,Episodic,1,Sawyer Door,baseline
1.0,4570000.0,Episodic,1,Sawyer Door,baseline
1.0,4580000.0,Episodic,1,Sawyer Door,baseline
1.0,4590000.0,Episodic,1,Sawyer Door,baseline
1.0,4600000.0,Episodic,1,Sawyer Door,baseline
1.0,4610000.0,Episodic,1,Sawyer Door,baseline
1.0,4620000.0,Episodic,1,Sawyer Door,baseline
1.0,4630000.0,Episodic,1,Sawyer Door,baseline
1.0,4640000.0,Episodic,1,Sawyer Door,baseline
1.0,4650000.0,Episodic,1,Sawyer Door,baseline
1.0,4660000.0,Episodic,1,Sawyer Door,baseline
1.0,4670000.0,Episodic,1,Sawyer Door,baseline
1.0,4680000.0,Episodic,1,Sawyer Door,baseline
1.0,4690000.0,Episodic,1,Sawyer Door,baseline
1.0,4700000.0,Episodic,1,Sawyer Door,baseline
1.0,4710000.0,Episodic,1,Sawyer Door,baseline
1.0,4720000.0,Episodic,1,Sawyer Door,baseline
1.0,4730000.0,Episodic,1,Sawyer Door,baseline
1.0,4740000.0,Episodic,1,Sawyer Door,baseline
1.0,4750000.0,Episodic,1,Sawyer Door,baseline
1.0,4760000.0,Episodic,1,Sawyer Door,baseline
1.0,4770000.0,Episodic,1,Sawyer Door,baseline
1.0,4780000.0,Episodic,1,Sawyer Door,baseline
1.0,4790000.0,Episodic,1,Sawyer Door,baseline
1.0,4800000.0,Episodic,1,Sawyer Door,baseline
1.0,4810000.0,Episodic,1,Sawyer Door,baseline
1.0,4820000.0,Episodic,1,Sawyer Door,baseline
